店舗,機種名,End_Digit,稼働日数,集計数,平均差枚数,平均回転数,勝率
A-FLAG津,L ToLOVEるダークネス,0.0,46,75,45.22666666666667,1043.5866666666666,0.22666666666666666
A-FLAG津,L ToLOVEるダークネス,1.0,59,96,106.52083333333333,1398.8229166666667,0.28125
A-FLAG津,L ToLOVEるダークネス,2.0,48,78,-251.98717948717947,1246.5128205128206,0.20512820512820512
A-FLAG津,L ToLOVEるダークネス,3.0,48,79,-244.68354430379748,1661.9367088607594,0.21518987341772153
A-FLAG津,L ToLOVEるダークネス,4.0,48,78,-357.65384615384613,1010.5128205128206,0.14102564102564102
A-FLAG津,L ToLOVEるダークネス,5.0,47,77,-465.02597402597405,1234.7012987012988,0.23376623376623376
A-FLAG津,L ToLOVEるダークネス,6.0,49,81,-161.2962962962963,1172.1975308641975,0.25925925925925924
A-FLAG津,L ToLOVEるダークネス,7.0,48,78,-276.44871794871796,1033.2307692307693,0.1794871794871795
A-FLAG津,L ToLOVEるダークネス,8.0,48,77,244.02597402597402,1160.3636363636363,0.2987012987012987
A-FLAG津,L ToLOVEるダークネス,9.0,47,76,100.94736842105263,1163.9736842105262,0.2631578947368421
A-FLAG津,L にゃんこ大戦争 超神速,0.0,32,32,143.78125,983.28125,0.28125
A-FLAG津,L にゃんこ大戦争 超神速,1.0,40,40,9.725,1496.45,0.3
A-FLAG津,L にゃんこ大戦争 超神速,2.0,32,32,-258.375,1656.59375,0.1875
A-FLAG津,L にゃんこ大戦争 超神速,3.0,33,33,-206.8181818181818,1659.5757575757575,0.3333333333333333
A-FLAG津,L にゃんこ大戦争 超神速,4.0,32,32,-179.03125,1600.125,0.25
A-FLAG津,L にゃんこ大戦争 超神速,5.0,31,31,-305.2258064516129,1571.0645161290322,0.2903225806451613
A-FLAG津,L にゃんこ大戦争 超神速,6.0,32,32,-291.40625,1339.75,0.1875
A-FLAG津,L にゃんこ大戦争 超神速,7.0,31,31,-5.451612903225806,942.9677419354839,0.25806451612903225
A-FLAG津,L にゃんこ大戦争 超神速,8.0,31,31,-221.90322580645162,960.6451612903226,0.16129032258064516
A-FLAG津,L にゃんこ大戦争 超神速,9.0,32,32,-163.5,1561.09375,0.28125
A-FLAG津,L アズールレーン THE ANIMATION,0.0,25,25,204.28,2166.2,0.36
