店舗,新台入替回数,総導入台数,平均差枚数,平均回転数,勝率
大丸桜山,11.0,27.0,817.7777777777778,4663.888888888889,0.48148148148148145
スーパードーム四日市,6.0,50.0,784.54,4220.86,0.48
コスモジャパン大府,31.0,1013.0,756.0987166831194,3418.080947680158,0.5291214215202369
キクヤ本店,33.0,169.0,652.4792899408284,6251.792899408284,0.5502958579881657
メガコンコルド日進長久手,1.0,74.0,636.6216216216217,3336.2162162162163,0.527027027027027
ウイングレット,15.0,76.0,631.6842105263158,3218.7236842105262,0.4473684210526316
ホームラン白子,15.0,62.0,605.8064516129032,4200.209677419355,0.4032258064516129
ジール当知,12.0,95.0,556.9578947368421,5075.126315789474,0.42105263157894735
キクヤ一宮,7.0,288.0,554.6215277777778,4900.666666666667,0.4895833333333333
ZENT多治見,14.0,235.0,534.2893617021276,6861.536170212766,0.4340425531914894
オーギヤ豊橋駅前,7.0,52.0,484.28846153846155,6184.807692307692,0.46153846153846156
キクヤ長良,29.0,305.0,478.7311475409836,6659.55737704918,0.46229508196721314
オーギヤタウン半田,20.0,609.0,475.66995073891627,8341.863711001643,0.5270935960591133
オーギヤチャンピオン,11.0,136.0,473.06617647058823,5747.941176470588,0.40441176470588236
ZENT坂祝,10.0,169.0,464.4556213017751,6529.733727810651,0.4378698224852071
オーギヤGO,10.0,56.0,434.69642857142856,5094.125,0.5
コスモジャパン三谷,30.0,400.0,418.06,4259.7525,0.4825
ZENT若林,11.0,68.0,387.1617647058824,3251.970588235294,0.45588235294117646
ZENT555,29.0,553.0,361.627486437613,3780.4556962025317,0.47377938517179025
yout小牧店(APAN21小牧店),11.0,65.0,322.7230769230769,2433.0307692307692,0.38461538461538464
キクヤ春日井,39.0,979.0,317.1133810010214,7280.700715015322,0.4371807967313585
キング観光笠寺,41.0,160.0,309.9625,4368.20625,0.43125
コスモジャパン西尾,31.0,453.0,304.6666666666667,3000.8278145695363,0.47019867549668876
サン亀山,10.0,48.0,296.7916666666667,2282.3541666666665,0.375
KYORAKU東海,29.0,394.0,269.93401015228426,3670.187817258883,0.4289340101522843
